"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NE,"1/13/2021 10 p.m. EST",14119,14560,11196,-2923
NE,"1/13/2021 11 p.m. EST",13042,13470,9989,-3053
NE,"1/14/2021 12 a.m. EST",12402,12510,9358,-3044
NE,"1/14/2021 1 a.m. EST",12177,11500,9115,-3062
NE,"1/14/2021 2 a.m. EST",12045,11190,8997,-3048
NE,"1/14/2021 3 a.m. EST",12089,11030,9103,-2986
NE,"1/14/2021 4 a.m. EST",12091,11060,9116,-2975
NE,"1/14/2021 5 a.m. EST",12153,11360,9164,-2989
NE,"1/14/2021 6 a.m. EST",12704,12190,9809,-2895
NE,"1/14/2021 7 a.m. EST",13784,13440,10925,-2859
NE,"1/14/2021 8 a.m. EST",14678,14610,11740,-2938
NE,"1/14/2021 9 a.m. EST",15145,15080,12149,-2996
NE,"1/14/2021 10 a.m. EST",15129,15110,12289,-2840
NE,"1/14/2021 11 a.m. EST",14998,15030,11914,-3084
NE,"1/14/2021 12 p.m. EST",14952,14930,11879,-3073
NE,"1/14/2021 1 p.m. EST",14814,14820,11708,-3106
NE,"1/14/2021 2 p.m. EST",14950,14890,11737,-3213
NE,"1/14/2021 3 p.m. EST",14980,14930,11943,-3037
NE,"1/14/2021 4 p.m. EST",15240,15240,11943,
NE,"1/14/2021 5 p.m. EST",15701,15990,12412,-3289
NE,"1/14/2021 6 p.m. EST",16533,16740,13216,-3317
NE,"1/14/2021 7 p.m. EST",16306,16510,12948,-3358
NE,"1/14/2021 8 p.m. EST",15649,15870,12188,-3461
NE,"1/14/2021 9 p.m. EST",14923,15140,11688,-3235
NE,"1/14/2021 10 p.m. EST",13991,14330,11003,-2988
NE,"1/14/2021 11 p.m. EST",12914,13180,9952,-2962
NE,"1/15/2021 12 a.m. EST",11966,12180,9053,-2913
NE,"1/15/2021 1 a.m. EST",11629,11330,8677,-2952
NE,"1/15/2021 2 a.m. EST",11507,10960,8519,-2988
NE,"1/15/2021 3 a.m. EST",11448,10800,8382,-3066
NE,"1/15/2021 4 a.m. EST",11611,10830,8499,-3112
NE,"1/15/2021 5 a.m. EST",11496,11140,8398,-3098
NE,"1/15/2021 6 a.m. EST",11964,11980,8929,-3035
NE,"1/15/2021 7 a.m. EST",13244,13370,10435,-2809
NE,"1/15/2021 8 a.m. EST",14380,14580,11435,-2945
